yourlist:M2021061492C7BAECDB1C5C413EE0E0348724B68206ED2EH	Entry
AADACL3	Q5VUY0
AADACL4	Q5VUY2
AADACL4	L8E711
ACAP3	Q96P50
ACAP3	F8W850
ACAP3	Q8N2W2
ACAP3	Q8WTZ1
ACOT7	O00154
ACOT7	K7EKP8
ACTL8	Q9H568
ACTRT2	Q8TDY3
AGMAT	Q9BSE5
AGMAT	A0A024QZ74
AGRN	O00468
AGRN	A0A087X208
AGRN	A0A494C0G5
AGRN	A0A494C1I6
AGRN	Q15952
AGRN	Q5XG79
AGRN	Q96QF8
AGRN	Q96QF9
AGTRAP	Q6RW13
AGTRAP	D6RB40
AGTRAP	D6RBK6
AGTRAP	X6R9H3
AJAP1	Q9UKB5
AJAP1	L8E8W6
AKR7A2	O43488
AKR7A2	H3BLU7
AKR7A2	H7C4Q7
AKR7A2	H7C5H7
AKR7A2	V9HWA2
AKR7A3	O95154
AKR7L	Q8NHP1
AKR7L	A0A499FJT0
ALDH4A1	P30038
ALDH4A1	A0A024RAC7
ALDH4A1	Q5TF55
ALPL	P05186
ALPL	A0A024RAB4
ALPL	B1ANL0
ALPL	G8I0M6
ANGPTL7	O43827
ANKRD65	E5RJM6
ARHGEF10L	Q9HCE6
ARHGEF10L	A0A2X0U2F8
ARHGEF10L	A0A384DVK7
ARHGEF10L	Q5VXI4
ARHGEF16	Q5VV41
ARHGEF16	A0A2X0SFX5
ARHGEF16	B0QZD3
ARHGEF16	B0QZD4
ARHGEF16	L8EAP0
ARHGEF19	Q8IW93
ARHGEF19	A0A2X0SFB1
ARHGEF19	H0Y4D8
ARHGEF19	Q5TEV0
ARID1A	O14497
ARID1A	A0A087WUV6
ARID1A	A0A0S2Q0B1
ARID1A	A0A1B0GTU5
ARID1A	A0A1B0GVT5
ARID1A	A4FU79
ARID1A	C1KEN7
ARID1A	E9PQW6
ARID1A	H0Y488
ARID1A	H0YCU6
ARID1A	H0YEW5
ASAP3	Q8TDY4
ASAP3	A0A087X0Y5
ASAP3	E9PS98
ASAP3	H0YE36
ASAP3	H0YEB0
ASAP3	H0YER8
ASAP3	Q6PJ46
ASAP3	V9GY49
ATAD3A	Q9NVI7
ATAD3A	H0Y2W2
ATAD3A	Q5SV16
ATAD3B	Q5T9A4
ATAD3B	A0A5K1VW56
ATAD3C	Q5T2N8
ATAD3C	J3QSF3
ATP13A2	Q9NQ11
ATP13A2	H0Y8I1
ATP13A2	H0Y8V5
ATP13A2	H0Y8Z6
ATP13A2	H0Y953
ATP13A2	H0Y9K0
ATP13A2	H0Y9K4
ATP13A2	H0YAI7
ATP13A2	Q8N4D4
AUNIP	Q9H7T9
AURKAIP1	Q9NWT8
AURKAIP1	Q6PI41
B3GALT6	Q96L58
B3GALT6	Q499Z2
C1orf127	Q8N9H9
C1orf127	B7ZLG7
C1orf127	B7ZLG8
C1orf127	B7ZLG9
C1orf127	G8JLG8
C1orf127	H0YBK5
C1orf127	H3BM07
C1orf127	K7EPZ7
C1orf158	Q8N1D5
C1orf158	Q5VUY5
C1orf159	Q96HA4
C1orf159	A0A024R082
C1orf159	B2REC4
C1orf159	B2REC5
C1orf159	J3KSJ6
C1orf159	J3KT48
C1orf159	J3QKM1
C1orf159	J3QRL0
C1orf159	J3QSF0
C1orf159	Q5T2W7
C1orf159	Q5T2W9
C1orf167	Q5SNV9
C1orf167	A2VCK6
C1orf167	H0Y5F2
C1orf167	H0Y5L4
C1orf167	H7BXQ2
C1orf167	Q05BY4
C1orf174	Q8IYL3
C1orf195	Q5TG92
C1orf232	A0A0U1RR37
C1orf232	A0A0U1RQR0
C1QA	P02745
C1QA	A0A024RAG6
C1QA	X6RLJ0
C1QB	P02746
C1QB	A0A024RAB9
C1QB	A0A0A0MSV6
C1QB	D6R934
C1QB	D6RGJ1
C1QB	Q6LDZ7
C1QC	P02747
C1QC	A0A024RAA7
C1QTNF12	Q5T7M4
CA6	P23280
CA6	F8W148
CA6	Q5FBW4
CA6	Q8N4G4
CALML6	Q8TD86
CALML6	B1AKR1
CAMK2N1	Q7Z7J9
CAMK2N1	Q7L2B8
CAMTA1	Q9Y6Y1
CAMTA1	A0A0C4DGL0
CAMTA1	G3V297
CAMTA1	H0YJG5
CAMTA1	H0YJK7
CAMTA1	H0YJR7
CAMTA1	H0YJV1
CAMTA1	H0YJY7
CAMTA1	Q7Z7P1
CAPZB	P47756
CAPZB	A0A6I8PIH4
CAPZB	A0A6I8PIN8
CAPZB	A0A6I8PRV6
CAPZB	B1AK85
CAPZB	B1AK87
CAPZB	B1AK88
CAPZB	Q7L4N0
CASP9	P55211
CASP9	A0A087WX72
CASP9	F8VVS7
CASP9	F8VWA5
CASP9	H0Y3S8
CASP9	H0Y6Y2
CASP9	Q5JRU2
CASP9	Q5JRU8
CASZ1	Q86V15
CASZ1	K7EQC6
CATSPER4	Q7RTX7
CATSPER4	J3KNU1
CCDC27	Q2M243
CCDC27	J3QKX2
CCNL2	Q96S94
CCNL2	A0A0A0MSF3
CCNL2	C9J148
CCNL2	J3KRL1
CCNL2	J3QSH2
CD164L2	Q6UWJ8
CD164L2	Q5JXD4
CD52	P31358
CD52	Q6IBD0
CD52	Q9UJ81
CD52	V9HWN9
CDA	P32320
CDA	Q71UE9
CDC42	P60953
CDC42	A0A024RAA5
CDC42	A0A024RAE6
CDC42	A0A3B3IRV0
CDC42	A0A494BZX6
CDC42	A0A494C1M1
CDC42	A0A590UJK8
CDC42	Q5JYX0
CDK11A	Q9UQ88
CDK11A	E7ESP2
CDK11A	E9PFJ2
CDK11A	J3KS35
CDK11A	Q5QPQ9
CDK11A	Q5QPR3
CDK11A	Q5QPR4
CDK11B	P21127
CDK11B	A0A087WYI9
CDK11B	A0A087X1I0
CDK11B	A0A0D9SEI3
CDK11B	A0A0D9SEN2
CDK11B	A0A0D9SER5
CELA2A	P08217
CELA2B	P08218
CELA2B	Q5JRU4
CELA3A	P09093
CELA3A	B1AQ55
CELA3B	P08861
CELA3B	A0A0A0MSA6
CENPS	Q8N2Z9
CENPS	K7ESB0
CENPS-CORT	A0A087WT10
CENPS,CENPS-CORT	A0A0U1RQL5
CEP104	O60308
CEP104	A0A6Q8PFR4
CEP104	A0A6Q8PG89
CEP104	A0A6Q8PGB3
CEP104	A0A6Q8PGF0
CEP104	A0A6Q8PGQ7
CEP104	A0A6Q8PH14
CEP104	A0A6Q8PH38
CEP104	A0A6Q8PH69
CEP104	A0A6Q8PHE1
CEP104	A0A6Q8PHR0
CEP104	J3QLL3
CEP104	Q5SR27
CEP85	Q6P2H3
CEP85	H7BZW2
CFAP74	Q9C0B2
CFAP74	A0A2R8YEX1
CFAP74	Q5T2D8
CHD5	O00258
CHD5	Q8TD26
CHD5	Q8TDI0
CHD5	F2Z2R5
CHD5	F6T542
CHD5	K7EMC0
CHD5	K7EMY3
CHD5	K7ESA5
CLCN6	P51797
CLCN6	A0A3B3IRY0
CLCN6	Q8IZX0
CLCNKA	P51800
CLCNKB	P51801
CLCNKB	A0A087X136
CLCNKB	Q5T5Q6
CLCNKB	Q8WW53
CLIC4	Q9Y696
CLIC4	Q6FIC5
CLSTN1	O94985
CLSTN1	A0A3B3ITY6
CLSTN1	Q5SR54
CNKSR1	Q969H4
CNKSR1	B4DXN4
CNKSR1	E9PIE0
CNKSR1	E9PS82
CNKSR1	G3V160
CNKSR1	H0YDP5
CNKSR1	Q53GM7
CNR2	P34972
CNR2	A0A024RAH7
CORT	O00230
CORT	Q8IUV6
CPLANE2	Q9BU20
CPLANE2	H0Y6L8
CPTP	Q5TA50
CPTP	J3KST3
CROCC	Q5TZA2
CROCC	A0A087WU09
CROCC	A0A087WW81
CROCC	A1L0S8
CROCC	A1L0S9
CROCC	B1AKD8
CROCCP2	Q86T23
CROCCP3	Q8IVE0
CRYBG2	Q8N1P7
CRYBG2	E7ET48
CRYBG2	E7EX92
CRYBG2	J3KQW1
CTNNBIP1	Q9NSA3
CTNNBIP1	A0A024R4D7
CTRC	Q99895
CTRC	Q68DR9
DDI2	Q5TDH0
DDI2	H0YI90
DDI2	H0YII4
DDOST	P39656
DDOST	A0A024RAD5
DDOST	A0A0C4DGS1
DDOST	U3KQ84
DDX11L1	B7ZGX0
DFFA	O00273
DFFA	A0A024R4H5
DFFA	K7ERT1
DFFB	O76075
DFFB	A0A024R4C8
DFFB	B4DZS0
DFFB	G3XAD0
DFFB	J3KT26
DFFB	Q96P72
DFFB	Q96P73
DFFB	Q96P74
DHDDS	Q86SQ9
DHDDS	E9PI09
DHDDS	E9PI64
DHDDS	E9PKJ5
DHDDS	E9PL99
DHDDS	E9PR24
DHDDS	E9PRS7
DHDDS	E9PSH7
DHDDS	H0Y4T1
DHDDS	Q5T0A0
DHDDS	Q5T0A1
DHDDS	Q5T0A2
DHDDS	Q5T0A3
DHDDS	Q5T0A6
DHRS3	O75911
DHRS3	A0A087WTY3
DHRS3	Q0QD44
DHRS3	Q5SUY4
DISP3	Q9P2K9
DISP3	Q9UJD7
DNAJC11	Q9NVH1
DNAJC11	B1AK20
DNAJC11	Q5TH61
DNAJC16	Q9Y2G8
DNAJC16	H0YCM8
DNAJC16	L8E870
DNAJC16	Q5TDG9
DNAJC16	Q5TDH4
DRAXIN	Q8NBI3
DVL1	O14640
DVL1	P54792
DVL1	A0A024R080
DVL1	A0A087WWA7
DVL1	A0A0J9YWZ5
DVL1	A0A0J9YYK1
DVL1	Q6PJD6
DVL1	Q86TH3
E2F2	Q14209
ECE1	P42892
ECE1	A0A024RAB0
ECE1	A0A024RAB2
ECE1	A0A3B3ISF9
ECE1	A1PUP8
ECE1	B4DKB2
ECE1	E9PHZ1
ECE1	E9PJG1
ECE1	E9PN99
EFHD2	Q96C19
EFHD2	A0A024QZ77
EFHD2	A0A024QZ82
EFHD2	H0Y4Y4
EIF4G3	O43432
EIF4G3	A0A0A0MSA7
EIF4G3	A0A0U1RQK7
EIF4G3	B1AN91
EIF4G3	B1AN92
ELOA	Q14241
ELOA	A0A024RAC6
EMC1	Q8N766
EMC1	A0A286YEW0
EMC1	H7C4E3
EMC1	H7C5A2
EMC1	Q5TG59
ENO1	P06733
ENO1	A0A024R4F1
ENO1	A0A2R8Y6G6
ENO1	A0A2R8Y6I8
ENO1	A0A2R8Y798
ENO1	A0A2R8Y879
ENO1	A0A2R8YEG5
ENO1	A0A2R8YEM5
ENO1	A4QMW8
ENO1	K7EM90
ENO1	K7ERS8
EPHA2	P29317
EPHA2	A0A024QZA8
EPHA2	Q8IZL0
EPHA2	Q96HF4
EPHA8	P29322
EPHB2	P29323
EPHB2	B1AKC9
EPHB2	E2I6F7
EPHB2	Q6NVW1
ERRFI1	Q9UJM3
ERRFI1	I6S2Y9
ERRFI1	K7EJB4
ERRFI1	K7EMD2
ERRFI1	K7ENI4
ERRFI1	K7ENN7
ESPN	B1AK53
ESPN	A0A0A0MSQ4
ESPN	A0A0J9YW00
ESPN	A0A0J9YWQ8
ESPN	A0A0J9YY76
ESPN	A0A1B0GUN9
ESPN	A0A1B0GUS9
ESPN	A0A2R8Y6D3
ESPN	A0A2R8Y7L7
ESPN	A0A2R8YG57
ESPN	H0Y7L4
ESPN	K7EMB7
ESPN	Q5JYL1
EXOSC10	Q01780
EXOSC10	K7EJ37
EXOSC10	L8E6Y6
EXOSC10	Q96G78
EXTL1	Q92935
FAAP20	Q6NZ36
FAAP20	F6S8H2
FAAP20	H7C2E6
FAAP20	H7C361
FAAP20	H7C3A6
FAM110D	Q8TAY7
FAM131C	Q96AQ9
FAM43B	Q6ZT52
FBLIM1	Q8WUP2
FBLIM1	D6R9I4
FBLIM1	D6R9V9
FBLIM1	D6RA19
FBLIM1	D6RAI6
FBLIM1	D6RAI8
FBLIM1	E7EN81
FBLIM1	E7EPI5
FBLIM1	E7EWE8
FBLIM1	Q5VVD3
FBXO2	Q9UK22
FBXO2	A0A286YF37
FBXO2	R4GNH2
FBXO42	Q6P3S6
FBXO42	X6RKU3
FBXO44	Q9H4M3
FBXO44	A0A024R4F9
FBXO44	A0A024R4J6
FBXO44	A0A0A0MSI6
FBXO44	B7Z1P2
FBXO44	R4GMZ8
FBXO44	R4GNH4
FBXO6	Q9NRD1
FBXO6	J3KQ72
FCN3	O75636
FCN3	Q6UXM4
FHAD1	B1AJZ9
FHAD1	H0Y3C6
FHAD1	H0Y5P0
